timestamp,open,high,low,close,volume
2023-09-29 19:59:00,131.82,131.82,131.82,131.82,43
2023-09-29 19:58:00,131.8,131.8,131.8,131.8,5
2023-09-29 19:57:00,131.8,131.82,131.8,131.82,44
2023-09-29 19:56:00,131.8,131.82,131.78,131.8,171
2023-09-29 19:53:00,131.71,131.71,131.71,131.71,1
2023-09-29 19:52:00,131.8,131.8,131.8,131.8,2
2023-09-29 19:51:00,131.82,131.82,131.82,131.82,120
2023-09-29 19:50:00,131.71,131.75,131.71,131.75,11
2023-09-29 19:49:00,131.67,131.74,131.67,131.74,28
2023-09-29 19:46:00,131.82,131.82,131.82,131.82,25
2023-09-29 19:42:00,131.68,131.7,131.68,131.7,404
2023-09-29 19:41:00,131.8,131.8,131.8,131.8,15
2023-09-29 19:40:00,131.8,131.8,131.8,131.8,60
2023-09-29 19:39:00,131.7,131.8,131.7,131.8,130
2023-09-29 19:37:00,131.62,131.7,131.62,131.7,109
2023-09-29 19:36:00,131.5,131.5,131.5,131.5,1
2023-09-29 19:34:00,131.6,131.655,131.55,131.655,42
2023-09-29 19:32:00,131.55,131.55,131.55,131.55,200
2023-09-29 19:31:00,131.63,131.63,131.63,131.63,110
2023-09-29 19:30:00,131.75,131.75,131.56,131.56,3
2023-09-29 19:29:00,131.63,131.75,131.63,131.75,51
2023-09-29 19:28:00,131.63,131.63,131.63,131.63,1200
2023-09-29 19:27:00,131.59,131.63,131.59,131.63,2001
2023-09-29 19:26:00,131.63,131.63,131.6,131.61,385
2023-09-29 19:25:00,131.7,131.7,131.63,131.63,20
2023-09-29 19:24:00,131.73,131.73,131.67,131.71,3056
2023-09-29 19:23:00,131.78,131.78,131.705,131.705,379
2023-09-29 19:22:00,131.84,131.84,131.77,131.77,354
2023-09-29 19:21:00,131.85,131.88,131.85,131.85,275
2023-09-29 19:20:00,131.91,131.91,131.91,131.91,10
2023-09-29 19:18:00,131.91,131.91,131.91,131.91,24
2023-09-29 19:17:00,131.81,131.86,131.81,131.86,50
2023-09-29 19:16:00,131.9,131.9,131.8,131.81,614
2023-09-29 19:15:00,131.86,131.86,131.86,131.86,10
2023-09-29 19:14:00,131.91,131.91,131.885,131.91,31
2023-09-29 19:12:00,131.91,131.91,131.91,131.91,1
2023-09-29 19:11:00,131.96,131.96,131.915,131.915,6
2023-09-29 19:10:00,131.915,131.915,131.915,131.915,1
